a	6722018418:98 
narcea	6722018418:1 
necesarias	6722018418:2 
necesidad	6722018418:1 
necesidades	6722018418:5 
necesitan	6722018418:2 
new	6722018418:2 
ni	6722018418:1 
nieto	6722018418:3 
ninos	6722018418:1 
nivel	6722018418:22 
niveles	6722018418:1 
no	6722018418:14 
nombres	6722018418:2 
norbert	6722018418:3 
noriega	6722018418:1 
normas	6722018418:1 
norte	6722018418:1 
nuestras	6722018418:1 
nueva	6722018418:1 
nuevas	6722018418:10 
o	6722018418:21 
objetiva	6722018418:1 
objetivo	6722018418:1 
objetivos	6722018418:2 
observar	6722018418:1 
obtener	6722018418:1 
obtenidos	6722018418:1 
of	6722018418:10 
olivos	6722018418:1 
on	6722018418:1 
ona	6722018418:1 
operaciones	6722018418:1 
oportunidad	6722018418:1 
optima	6722018418:1 
optimismo	6722018418:1 
optimizacion	6722018418:2 
optimizar	6722018418:5 
optimo	6722018418:2 
orcid	6722018418:3 
orden	6722018418:1 
orealcunesco	6722018418:1 
organice	6722018418:1 
organizacion	6722018418:5 
organizada	6722018418:1 
organizan	6722018418:1 
organizar	6722018418:1 
orientacion	6722018418:1 
orientan	6722018418:1 
otras	6722018418:2 
otro	6722018418:1 
otros	6722018418:7 
over	6722018418:1 
p	6722018418:9 
palabras	6722018418:1 
pallares	6722018418:2 
panamericana	6722018418:1 
paper	6722018418:1 
para	6722018418:49 
parte	6722018418:3 
participacion	6722018418:2 
partiendo	6722018418:1 
partir	6722018418:10 
pedagogico	6722018418:1 
pensamiento	6722018418:4 
pensar	6722018418:2 
people	6722018418:1 
perciba	6722018418:1 
percibir	6722018418:1 
perfil	6722018418:2 
performance	6722018418:6 
permanecer	6722018418:1 
permanencia	6722018418:1 
permita	6722018418:1 
permitan	6722018418:1 
permite	6722018418:5 
permiten	6722018418:1 
permitiran	6722018418:1 
pero	6722018418:2 
perrenoud	6722018418:3 
persona	6722018418:3 
personal	6722018418:9 
personales	6722018418:4 
personas	6722018418:1 
perspectiva	6722018418:1 
perspectivas	6722018418:1 
pertinente	6722018418:1 
pertinentemente	6722018418:1 
pertinentes	6722018418:1 
peru	6722018418:3 
peruana	6722018418:1 
pilares	6722018418:1 
plan	6722018418:1 
planes	6722018418:2 
planificacion	6722018418:3 
planificar	6722018418:1 
plantean	6722018418:1 
poca	6722018418:1 
politica	6722018418:1 
politicas	6722018418:1 
pontecorvo	6722018418:1 
popular	6722018418:1 
por	6722018418:27 
porcentaje	6722018418:1 
porque	6722018418:2 
posee	6722018418:1 
poseer	6722018418:1 
positiva	6722018418:1 
positivos	6722018418:1 
posner	6722018418:1 
potenciar	6722018418:3 
pp	6722018418:2 
practica	6722018418:3 
practicos	6722018418:1 
praeager	6722018418:1 
precisa	6722018418:1 
preciso	6722018418:3 
pregrado	6722018418:1 
preguntas	6722018418:1 
prelac	6722018418:1 
presentan	6722018418:1 
press	6722018418:1 
pretende	6722018418:1 
previos	6722018418:3 
previous	6722018418:1 
primer	6722018418:2 
primera	6722018418:1 
principales	6722018418:2 
privada	6722018418:1 
proactividad	6722018418:1 
problemas	6722018418:4 
proceso	6722018418:10 
procesos	6722018418:2 
producen	6722018418:1 
profesion	6722018418:2 
profesional	6722018418:10 
profesionales	6722018418:4 
profesionalismo	6722018418:2 
profesorado	6722018418:2 
programa	6722018418:1 
programas	6722018418:1 
promocion	6722018418:2 
promover	6722018418:1 
pronta	6722018418:1 
propias	6722018418:1 
propio	6722018418:3 
propios	6722018418:1 
propone	6722018418:1 
proponer	6722018418:1 
propositos	6722018418:13 
propuesta	6722018418:4 
protagonismo	6722018418:1 
protagonista	6722018418:1 
proyectos	6722018418:1 
psicologia	6722018418:1 
psicologico	6722018418:1 
publico	6722018418:1 
pueda	6722018418:1 
puedan	6722018418:1 
puede	6722018418:16 
pues	6722018418:10 
puesto	6722018418:2 
que	6722018418:101 
quien	6722018418:1 
quinta	6722018418:1 
r	6722018418:3 
raciti	6722018418:2 
radica	6722018418:2 
raul	6722018418:1 
razonamiento	6722018418:1 
re	6722018418:5 
reacciones	6722018418:1 
real	6722018418:1 
realidad	6722018418:3 
realidades	6722018418:1 
realiza	6722018418:1 
realizacion	6722018418:1 
realizadas	6722018418:1 
realizo	6722018418:1 
recaen	6722018418:1 
received	6722018418:1 
receptivo	6722018418:1 
recojo	6722018418:1 
reconocimiento	6722018418:1 
recuperado	6722018418:1 
recursos	6722018418:4 
referencia	6722018418:1 
referencias	6722018418:1 
referida	6722018418:1 
referido	6722018418:1 
refiere	6722018418:3 
refieren	6722018418:2 
reflejan	6722018418:1 
reflexion	6722018418:1 
reflexiva	6722018418:2 
registra	6722018418:1 
reiteracion	6722018418:1 
relacion	6722018418:5 
relaciona	6722018418:1 
relacionales	6722018418:2 
relacionan	6722018418:4 
relaciones	6722018418:1 
relating	6722018418:1 
representaciones	6722018418:12 
requiere	6722018418:1 
requieren	6722018418:2 
requisitos	6722018418:1 
resaltar	6722018418:3 
research	6722018418:3 
resiliencia	6722018418:2 
resolucion	6722018418:4 
respectiva	6722018418:1 
respecto	6722018418:5 
responsabilidad	6722018418:9 
responsabilidades	6722018418:2 
responsable	6722018418:1 
resulta	6722018418:3 
resultado	6722018418:3 
resultados	6722018418:2 
resumen	6722018418:1 
retos	6722018418:2 
retroalimentacion	6722018418:1 
retroalimentar	6722018418:1 
review	6722018418:2 
revised	6722018418:1 
revision	6722018418:4 
revista	6722018418:6 
robalino	6722018418:4 
rodriguez	6722018418:12 
rojas	6722018418:1 
routledge	6722018418:1 
rubricas	6722018418:1 
ruiz	6722018418:3 
s	6722018418:2 
sa	6722018418:1 
sabe	6722018418:1 
saber	6722018418:4 
saberes	6722018418:6 
sabres	6722018418:1 
salazar	6722018418:1 
salovey	6722018418:3 
salud	6722018418:1 
saludable	6722018418:1 
san	6722018418:1 
santillana	6722018418:1 
satisfaccion	6722018418:1 
school	6722018418:1 
se	6722018418:68 
sections	6722018418:1 
secundarios	6722018418:1 
sede	6722018418:1 
segun	6722018418:6 
segunda	6722018418:1 
segundo	6722018418:2 
seleccion	6722018418:2 
senalada	6722018418:1 
senalado	6722018418:3 
senalar	6722018418:1 
senales	6722018418:1 
sentido	6722018418:1 
ser	6722018418:9 
serie	6722018418:1 
serna	6722018418:2 
servicio	6722018418:2 
sesion	6722018418:1 
si	6722018418:1 
sido	6722018418:2 
siglo	6722018418:6 
significado	6722018418:1 
significativa	6722018418:1 
significativas	6722018418:1 
siguientes	6722018418:2 
silva	6722018418:2 
sin	6722018418:2 
sino	6722018418:4 
siqueira	6722018418:2 
sistema	6722018418:2 
situacion	6722018418:1 
situaciones	6722018418:4 
siu	6722018418:1 
sjl	6722018418:1 
skill	6722018418:1 
skillbased	6722018418:1 
skills	6722018418:7 
sluyter	6722018418:1 
sobre	6722018418:9 
social	6722018418:3 
sociales	6722018418:6 
sociedad	6722018418:3 
socioemocionales	6722018418:3 
soft	6722018418:7 
solo	6722018418:5 
solucion	6722018418:1 
solucionar	6722018418:1 
soluciones	6722018418:1 
son	6722018418:11 
sonora	6722018418:1 
sostener	6722018418:3 
sostiene	6722018418:1 
sostienen	6722018418:1 
studies	6722018418:1 
su	6722018418:19 
subsanar	6722018418:1 
suficiente	6722018418:1 
sugerencias	6722018418:1 
summary	6722018418:1 
superior	6722018418:24 
superiores	6722018418:1 
supone	6722018418:1 
surge	6722018418:1 
sus	6722018418:8 
suscitadas	6722018418:1 
sustancial	6722018418:1 
sustanciales	6722018418:1 
synthesis	6722018418:1 
tal	6722018418:5 
talento	6722018418:1 
tales	6722018418:4 
tambien	6722018418:7 
tanto	6722018418:2 
tareas	6722018418:1 
teacher	6722018418:3 
teaching	6722018418:4 
tecnica	6722018418:1 
tecnicas	6722018418:1 
tecnologia	6722018418:3 
tecnologias	6722018418:5 
tema	6722018418:2 
tematica	6722018418:3 
tener	6722018418:1 
teoria	6722018418:1 
teorias	6722018418:3 
teoricas	6722018418:1 
teoricopractico	6722018418:1 
teoricos	6722018418:1 
tercer	6722018418:1 
tercera	6722018418:1 
termino	6722018418:1 
terminos	6722018418:1 
tesis	6722018418:5 
tesoro	6722018418:1 
the	6722018418:12 
theories	6722018418:1 
this	6722018418:2 
tiempo	6722018418:1 
tiene	6722018418:1 
to	6722018418:4 
todas	6722018418:1 
todo	6722018418:2 
toles	6722018418:1 
toma	6722018418:1 
tomada	6722018418:1 
tomar	6722018418:4 
topic	6722018418:1 
trabajar	6722018418:1 
trabajo	6722018418:7 
trabajos	6722018418:1 
tradicional	6722018418:1 
traido	6722018418:1 
transcurrir	6722018418:1 
transformacion	6722018418:1 
transformar	6722018418:2 
transmitir	6722018418:1 
transversales	6722018418:3 
trasmitir	6722018418:1 
traves	6722018418:4 
tres	6722018418:1 
tschannenmoran	6722018418:2 
tutor	6722018418:1 
tutoria	6722018418:1 
tutorizar	6722018418:2 
ultima	6722018418:3 
ultimo	6722018418:1 
ultimos	6722018418:1 
un	6722018418:21 
una	6722018418:23 
under	6722018418:1 
unesco	6722018418:1 
unicos	6722018418:1 
universidad	6722018418:12 
universitaria	6722018418:1 
universitario	6722018418:12 
universitarios	6722018418:1 
university	6722018418:1 
uno	6722018418:3 
up	6722018418:1 
uso	6722018418:3 
utiles	6722018418:2 
utilizadas	6722018418:1 
utilizados	6722018418:1 
utilizan	6722018418:1 
utilizando	6722018418:1 
valdes	6722018418:2 
valida	6722018418:1 
vallejo	6722018418:1 
valor	6722018418:2 
valoracion	6722018418:1 
valorados	6722018418:1 
vanguardia	6722018418:1 
variados	6722018418:1 
ven	6722018418:1 
ver	6722018418:1 
vera	6722018418:4 
verificar	6722018418:1 
vez	6722018418:1 
vicerrectorado	6722018418:1 
vida	6722018418:5 
vidal	6722018418:2 
vidas	6722018418:1 
vigencia	6722018418:1 
villarreal	6722018418:1 
villegas	6722018418:1 
vinculacion	6722018418:2 
vinculado	6722018418:1 
vinculados	6722018418:1 
vincule	6722018418:1 
virtual	6722018418:1 
virtualidad	6722018418:1 
virtualizacion	6722018418:1 
virtudes	6722018418:1 
visible	6722018418:1 
vision	6722018418:1 
vol	6722018418:11 
w	6722018418:1 
way	6722018418:1 
wesport	6722018418:1 
what	6722018418:1 
whitman	6722018418:1 
wiener	6722018418:3 
with	6722018418:1 
wolfe	6722018418:1 
woolfolk	6722018418:1 
working	6722018418:1 
world	5722018411:2 
xxi	6722018418:6 
y	6722018418:157 
ya	6722018418:1 
yeager	6722018418:2 
yorr	6722018418:1 
zabalza	6722018418:6 
root@e04a36d8c5ad:/tmp# hdfs dfs -gedit /user/root/inverted_index/output/part-r-00000
-gedit: Unknown command
Usage: hadoop fs [generic options]
	[-appendToFile <localsrc> ... <dst>]
	[-cat [-ignoreCrc] <src> ...]
	[-checksum <src> ...]
	[-chgrp [-R] GROUP PATH...]
	[-chmod [-R] <MODE[,MODE]... | OCTALMODE> PATH...]
	[-chown [-R] [OWNER][:[GROUP]] PATH...]
	[-copyFromLocal [-f] [-p] [-l] [-d] [-t <thread count>] <localsrc> ... <dst>]
	[-copyToLocal [-f] [-p] [-ignoreCrc] [-crc] <src> ... <localdst>]
	[-count [-q] [-h] [-v] [-t [<storage type>]] [-u] [-x] [-e] <path> ...]
	[-cp [-f] [-p | -p[topax]] [-d] <src> ... <dst>]
	[-createSnapshot <snapshotDir> [<snapshotName>]]
	[-deleteSnapshot <snapshotDir> <snapshotName>]
	[-df [-h] [<path> ...]]
	[-du [-s] [-h] [-v] [-x] <path> ...]
	[-expunge [-immediate]]
	[-find <path> ... <expression> ...]
	[-get [-f] [-p] [-ignoreCrc] [-crc] <src> ... <localdst>]
	[-getfacl [-R] <path>]
	[-getfattr [-R] {-n name | -d} [-e en] <path>]
	[-getmerge [-nl] [-skip-empty-file] <src> <localdst>]
	[-head <file>]
	[-help [cmd ...]]
	[-ls [-C] [-d] [-h] [-q] [-R] [-t] [-S] [-r] [-u] [-e] [<path> ...]]
	[-mkdir [-p] <path> ...]
	[-moveFromLocal <localsrc> ... <dst>]
	[-moveToLocal <src> <localdst>]
	[-mv <src> ... <dst>]
	[-put [-f] [-p] [-l] [-d] <localsrc> ... <dst>]
	[-renameSnapshot <snapshotDir> <oldName> <newName>]
	[-rm [-f] [-r|-R] [-skipTrash] [-safely] <src> ...]
	[-rmdir [--ignore-fail-on-non-empty] <dir> ...]
	[-setfacl [-R] [{-b|-k} {-m|-x <acl_spec>} <path>]|[--set <acl_spec> <path>]]
	[-setfattr {-n name [-v value] | -x name} <path>]
	[-setrep [-R] [-w] <rep> <path> ...]
	[-stat [format] <path> ...]
	[-tail [-f] [-s <sleep interval>] <file>]
	[-test -[defswrz] <path>]
	[-text [-ignoreCrc] <src> ...]
	[-touch [-a] [-m] [-t TIMESTAMP ] [-c] <path> ...]
	[-touchz <path> ...]
	[-truncate [-w] <length> <path> ...]
	[-usage [cmd ...]]

Generic options supported are:
-conf <configuration file>        specify an application configuration file
-D <property=value>               define a value for a given property
-fs <file:///|hdfs://namenode:port> specify default filesystem URL to use, overrides 'fs.defaultFS' property from configurations.
-jt <local|resourcemanager:port>  specify a ResourceManager
-files <file1,...>                specify a comma-separated list of files to be copied to the map reduce cluster
-libjars <jar1,...>               specify a comma-separated list of jar files to be included in the classpath
-archives <archive1,...>          specify a comma-separated list of archives to be unarchived on the compute machines

The general command line syntax is:
command [genericOptions] [commandOptions]

root@e04a36d8c5ad:/tmp# hdfs dfs gedit /user/root/inverted_index/output/part-r-00000
gedit: Unknown command
Usage: hadoop fs [generic options]
	[-appendToFile <localsrc> ... <dst>]
	[-cat [-ignoreCrc] <src> ...]
	[-checksum <src> ...]
	[-chgrp [-R] GROUP PATH...]
	[-chmod [-R] <MODE[,MODE]... | OCTALMODE> PATH...]
	[-chown [-R] [OWNER][:[GROUP]] PATH...]
	[-copyFromLocal [-f] [-p] [-l] [-d] [-t <thread count>] <localsrc> ... <dst>]
	[-copyToLocal [-f] [-p] [-ignoreCrc] [-crc] <src> ... <localdst>]
	[-count [-q] [-h] [-v] [-t [<storage type>]] [-u] [-x] [-e] <path> ...]
	[-cp [-f] [-p | -p[topax]] [-d] <src> ... <dst>]
	[-createSnapshot <snapshotDir> [<snapshotName>]]
	[-deleteSnapshot <snapshotDir> <snapshotName>]
	[-df [-h] [<path> ...]]
	[-du [-s] [-h] [-v] [-x] <path> ...]
	[-expunge [-immediate]]
	[-find <path> ... <expression> ...]
	[-get [-f] [-p] [-ignoreCrc] [-crc] <src> ... <localdst>]
	[-getfacl [-R] <path>]
	[-getfattr [-R] {-n name | -d} [-e en] <path>]
	[-getmerge [-nl] [-skip-empty-file] <src> <localdst>]
	[-head <file>]
	[-help [cmd ...]]
	[-ls [-C] [-d] [-h] [-q] [-R] [-t] [-S] [-r] [-u] [-e] [<path> ...]]
	[-mkdir [-p] <path> ...]
	[-moveFromLocal <localsrc> ... <dst>]
	[-moveToLocal <src> <localdst>]
	[-mv <src> ... <dst>]
	[-put [-f] [-p] [-l] [-d] <localsrc> ... <dst>]
	[-renameSnapshot <snapshotDir> <oldName> <newName>]
	[-rm [-f] [-r|-R] [-skipTrash] [-safely] <src> ...]
	[-rmdir [--ignore-fail-on-non-empty] <dir> ...]
	[-setfacl [-R] [{-b|-k} {-m|-x <acl_spec>} <path>]|[--set <acl_spec> <path>]]
	[-setfattr {-n name [-v value] | -x name} <path>]
	[-setrep [-R] [-w] <rep> <path> ...]
	[-stat [format] <path> ...]
	[-tail [-f] [-s <sleep interval>] <file>]
	[-test -[defswrz] <path>]
	[-text [-ignoreCrc] <src> ...]
	[-touch [-a] [-m] [-t TIMESTAMP ] [-c] <path> ...]
	[-touchz <path> ...]
	[-truncate [-w] <length> <path> ...]
	[-usage [cmd ...]]

Generic options supported are:
-conf <configuration file>        specify an application configuration file
-D <property=value>               define a value for a given property
-fs <file:///|hdfs://namenode:port> specify default filesystem URL to use, overrides 'fs.defaultFS' property from configurations.
-jt <local|resourcemanager:port>  specify a ResourceManager
-files <file1,...>                specify a comma-separated list of files to be copied to the map reduce cluster
-libjars <jar1,...>               specify a comma-separated list of jar files to be included in the classpath
-archives <archive1,...>          specify a comma-separated list of archives to be unarchived on the compute machines

The general command line syntax is:
command [genericOptions] [commandOptions]

root@e04a36d8c5ad:/tmp# hdfs dfs vim /user/root/inverted_index/output/part-r-00000
vim: Unknown command
Usage: hadoop fs [generic options]
	[-appendToFile <localsrc> ... <dst>]
	[-cat [-ignoreCrc] <src> ...]
	[-checksum <src> ...]
	[-chgrp [-R] GROUP PATH...]
	[-chmod [-R] <MODE[,MODE]... | OCTALMODE> PATH...]
	[-chown [-R] [OWNER][:[GROUP]] PATH...]
	[-copyFromLocal [-f] [-p] [-l] [-d] [-t <thread count>] <localsrc> ... <dst>]
	[-copyToLocal [-f] [-p] [-ignoreCrc] [-crc] <src> ... <localdst>]
	[-count [-q] [-h] [-v] [-t [<storage type>]] [-u] [-x] [-e] <path> ...]
	[-cp [-f] [-p | -p[topax]] [-d] <src> ... <dst>]
	[-createSnapshot <snapshotDir> [<snapshotName>]]
	[-deleteSnapshot <snapshotDir> <snapshotName>]
	[-df [-h] [<path> ...]]
	[-du [-s] [-h] [-v] [-x] <path> ...]
	[-expunge [-immediate]]
	[-find <path> ... <expression> ...]
	[-get [-f] [-p] [-ignoreCrc] [-crc] <src> ... <localdst>]
	[-getfacl [-R] <path>]
	[-getfattr [-R] {-n name | -d} [-e en] <path>]
	[-getmerge [-nl] [-skip-empty-file] <src> <localdst>]
	[-head <file>]
	[-help [cmd ...]]
	[-ls [-C] [-d] [-h] [-q] [-R] [-t] [-S] [-r] [-u] [-e] [<path> ...]]
	[-mkdir [-p] <path> ...]
	[-moveFromLocal <localsrc> ... <dst>]
	[-moveToLocal <src> <localdst>]
	[-mv <src> ... <dst>]
	[-put [-f] [-p] [-l] [-d] <localsrc> ... <dst>]
	[-renameSnapshot <snapshotDir> <oldName> <newName>]
	[-rm [-f] [-r|-R] [-skipTrash] [-safely] <src> ...]
	[-rmdir [--ignore-fail-on-non-empty] <dir> ...]
	[-setfacl [-R] [{-b|-k} {-m|-x <acl_spec>} <path>]|[--set <acl_spec> <path>]]
	[-setfattr {-n name [-v value] | -x name} <path>]
	[-setrep [-R] [-w] <rep> <path> ...]
	[-stat [format] <path> ...]
	[-tail [-f] [-s <sleep interval>] <file>]
	[-test -[defswrz] <path>]
	[-text [-ignoreCrc] <src> ...]
	[-touch [-a] [-m] [-t TIMESTAMP ] [-c] <path> ...]
	[-touchz <path> ...]
	[-truncate [-w] <length> <path> ...]
	[-usage [cmd ...]]

Generic options supported are:
-conf <configuration file>        specify an application configuration file
-D <property=value>               define a value for a given property
-fs <file:///|hdfs://namenode:port> specify default filesystem URL to use, overrides 'fs.defaultFS' property from configurations.
-jt <local|resourcemanager:port>  specify a ResourceManager
-files <file1,...>                specify a comma-separated list of files to be copied to the map reduce cluster
-libjars <jar1,...>               specify a comma-separated list of jar files to be included in the classpath
-archives <archive1,...>          specify a comma-separated list of archives to be unarchived on the compute machines

The general command line syntax is:
command [genericOptions] [commandOptions]

root@e04a36d8c5ad:/tmp# ls
InvertedIndex$IntSumReducer.class    hadoop-root-namenode.pid	    invertedindex.jar
InvertedIndex$TokenizerMapper.class  hsperfdata_root		    jetty-0.0.0.0-9870-hdfs-_-any-5631701354678309070.dir
InvertedIndex.class		     input
InvertedIndex.java		     inverted_index_map_reduce.out
root@e04a36d8c5ad:/tmp# hdfs dfs -cat /user/root/inverted_index/output/part-r-00000
2021-10-22 05:17:34,484 INFO sasl.SaslDataTransferClient: SASL encryption trust check: localHostTrusted = false, remoteHostTrusted = false
a	6722018418:98 
abarca	6722018418:1 
abundancia	6722018418:1 
academica	6722018418:1 
academicas	6722018418:3 
academico	6722018418:2 
academicoprofesional	6722018418:3 
academicos	6722018418:1 
acapite	6722018418:1 
acapites	6722018418:2 
accepted	6722018418:1 
acceso	6722018418:6 
accion	6722018418:1 
according	6722018418:1 
acercamiento	6722018418:1 
acertadas	6722018418:1 
achievement	6722018418:1 
acompanamiento	6722018418:1 
acompanan	6722018418:1 
acompanar	6722018418:1 
acordes	6722018418:2 
actitudes	6722018418:2 
activa	6722018418:1 
activacion	6722018418:1 
actividad	6722018418:1 
actividades	6722018418:6 
activos	6722018418:1 
acto	6722018418:1 
actor	6722018418:1 
actualidad	6722018418:3 
actualizados	6722018418:1 
actualmente	6722018418:2 
acuerdo	6722018418:3 
adaptabilidad	6722018418:6 
adaptarse	6722018418:1 
adapte	6722018418:1 
adecuada	6722018418:4 
adecuadamente	6722018418:2 
adecuadas	6722018418:1 
adecuado	6722018418:1 
adecuados	6722018418:1 
ademas	6722018418:2 
adicionalmente	6722018418:1 
adiestramiento	6722018418:1 
administrativas	6722018418:1 
adolescentes	6722018418:1 
adopto	6722018418:1 
adquiere	6722018418:1 
adquiridas	6722018418:1 
adquirido	6722018418:1 
adquiridos	6722018418:1 
adquisicion	6722018418:1 
advertencias	6722018418:1 
afectiva	6722018418:1 
afirmar	6722018418:2 
afrontar	6722018418:2 
after	6722018418:1 
agentes	6722018418:2 
agrega	6722018418:1 
ahora	6722018418:5 
ajello	6722018418:2 
akademeia	6722018418:1 
al	6722018418:19 
alberto	6722018418:1 
alcalde	6722018418:4 
alcanzados	6722018418:1 
algo	6722018418:1 
algun	6722018418:1 
alguna	6722018418:1 
algunos	6722018418:1 
alster	6722018418:1 
altos	6722018418:1 
alumnos	6722018418:1 
ambito	6722018418:9 
ambitos	6722018418:1 
an	6722018418:1 
analisis	6722018418:2 
analitica	6722018418:1 
analizar	6722018418:1 
analizara	6722018418:1 
analytical	6722018418:1 
and	6722018418:6 
anos	6722018418:1 
ansiedad	6722018418:1 
anterior	6722018418:1 
anticipacion	6722018418:1 
aplicacion	6722018418:2 
aplican	6722018418:1 
aplicar	6722018418:2 
aportar	6722018418:1 
apoyo	6722018418:1 
approach	6722018418:1 
apr	6722018418:11 
aprender	6722018418:3 
aprendizaje	6722018418:11 
aprendizajes	6722018418:2 
aprovechados	6722018418:1 
aprovechamiento	6722018418:1 
aproximacion	6722018418:1 
aproximadamente	6722018418:1 
aquel	6722018418:4 
aquella	6722018418:3 
aquellas	6722018418:6 
aquellos	6722018418:1 
area	6722018418:1 
areas	6722018418:2 
arendt	6722018418:1 
arguelles	6722018418:2 
arquitecturauni	6722018418:1 
arriba	6722018418:2 
article	6722018418:1 
articles	6722018418:1 
articulo	6722018418:2 
artunduaga	6722018418:1 
as	6722018418:1 
asegurar	6722018418:1 
aseguren	6722018418:1 
asequibles	6722018418:1 
asertiva	6722018418:2 
asi	6722018418:12 
asimilacion	6722018418:1 
asimiladas	6722018418:1 
asociado	6722018418:1 
aspecto	6722018418:4 
aspectos	6722018418:5 
at	6722018418:2 
atane	6722018418:1 
aula	6722018418:2 
autentico	6722018418:1 
autoeficacia	6722018418:3 
autogestion	6722018418:1 
autonomo	6722018418:1 
autonomos	6722018418:1 
autor	6722018418:1 
autores	6722018418:1 
autorregular	6722018418:2 
avanzado	6722018418:1 
b	6722018418:6 
bajo	6722018418:1 
bandas	6722018418:1 
barnett	6722018418:2 
baron	6722018418:1 
basada	6722018418:4 
base	6722018418:3 
bases	6722018418:3 
basic	6722018418:1 
basica	6722018418:1 
be	6722018418:1 
becerra	6722018418:2 
beneficio	6722018418:2 
bien	6722018418:4 
blanca	6722018418:1 
blanda	6722018418:3 
blandan	6722018418:1 
blandas	6722018418:35 
brackett	6722018418:2 
brinda	6722018418:1 
brindar	6722018418:1 
buen	6722018418:2 
buscar	6722018418:2 
busqueda	6722018418:2 
bye	5722018411:1 
byncnd	6722018418:1 
c	6722018418:8 
cabe	6722018418:5 
cabo	6722018418:1 
cada	6722018418:4 
calidad	6722018418:5 
calificadas	6722018418:1 
calza	6722018418:1 
cambio	6722018418:2 
cambios	6722018418:1 
capacidad	6722018418:7 
capacidades	6722018418:3 
capacitacion	6722018418:2 
capacitados	6722018418:1 
capital	6722018418:1 
captacion	6722018418:1 
carrera	6722018418:1 
carreras	6722018418:1 
casa	6722018418:1 
caso	6722018418:9 
casos	6722018418:1 
castro	6722018418:2 
catalizacion	6722018418:1 
cataloga	6722018418:2 
cayetano	6722018418:1 
cc	6722018418:1 
centrado	6722018418:3 
cesar	6722018418:1 
cientifica	6722018418:1 
citado	6722018418:2 
cite	6722018418:1 
clase	6722018418:5 
clasificacion	6722018418:1 
clasificado	6722018418:1 
clasificados	6722018418:1 
clave	6722018418:3 
codifiques	6722018418:1 
coeficiente	6722018418:1 
cognitiva	6722018418:2 
cognitivas	6722018418:2 
cognitivos	6722018418:1 
coherencia	6722018418:1 
coherente	6722018418:2 
coherentes	6722018418:1 
colaborativo	6722018418:3 
colectivo	6722018418:1 
collins	6722018418:1 
colombia	6722018418:1 
combinacion	6722018418:1 
combine	6722018418:1 
comienza	6722018418:1 
como	6722018418:44 
companeros	6722018418:1 
competencia	6722018418:3 
competencias	6722018418:18 
complejas	6722018418:1 
complementan	6722018418:2 
comportamiento	6722018418:2 
comportamientos	6722018418:1 
comprenden	6722018418:1 
comprender	6722018418:4 
comprensible	6722018418:1 
compromiso	6722018418:1 
compromisos	6722018418:2 
comunicacion	6722018418:10 
comunicador	6722018418:1 
comunicar	6722018418:2 
con	6722018418:46 
concepto	6722018418:1 
conceptos	6722018418:3 
concepts	6722018418:1 
conceptual	6722018418:3 
concernientes	6722018418:1 
concerning	6722018418:1 
conciencia	6722018418:2 
concluir	6722018418:1 
conclusiones	6722018418:1 
concretan	6722018418:1 
conectada	6722018418:1 
conexion	6722018418:1 
confiables	6722018418:1 
confianza	6722018418:3 
conflictos	6722018418:1 
conforme	6722018418:1 
congreso	6722018418:1 
conjunto	6722018418:1 
conocimiento	6722018418:1 
conocimientos	6722018418:3 
consciente	6722018418:1 
considera	6722018418:2 
considerada	6722018418:2 
consideradas	6722018418:1 
considerado	6722018418:4 
considerados	6722018418:1 
considerar	6722018418:1 
considerarse	6722018418:1 
consigo	6722018418:1 
consiguiente	6722018418:2 
consiste	6722018418:1 
consolidarse	6722018418:1 
constante	6722018418:2 
constantes	6722018418:1 
constituye	6722018418:2 
constructivista	6722018418:1 
construir	6722018418:2 
construye	6722018418:1 
construyen	6722018418:1 
contar	6722018418:1 
contempla	6722018418:2 
contenidos	6722018418:5 
contexto	6722018418:4 
contextos	6722018418:4 
contextualizadas	6722018418:1 
continuacion	6722018418:2 
contrapone	6722018418:1 
contribuya	6722018418:1 
conveniente	6722018418:1 
convenientemente	6722018418:1 
convicciones	6722018418:1 
convierten	6722018418:1 
convivencia	6722018418:1 
convivir	6722018418:1 
cooperativo	6722018418:1 
coord	6722018418:1 
correspondan	6722018418:1 
corresponde	6722018418:2 
corresponden	6722018418:2 
correspondence	6722018418:1 
correspondencia	6722018418:2 
cotejo	6722018418:1 
creating	6722018418:1 
creativa	6722018418:1 
creatividad	6722018418:2 
creativo	6722018418:1 
criterios	6722018418:2 
critica	6722018418:2 
criticidad	6722018418:1 
critico	6722018418:3 
crucial	6722018418:2 
cruciales	6722018418:1 
cruzado	6722018418:2 
ct	6722018418:1 
cual	6722018418:12 
cuales	6722018418:4 
cualidades	6722018418:2 
cuando	6722018418:5 
cuanto	6722018418:3 
cuarta	6722018418:1 
cuarto	6722018418:1 
cuatro	6722018418:1 
cubana	6722018418:1 
cuenta	6722018418:5 
cuestiones	6722018418:1 
culminadas	6722018418:1 
cumplimiento	6722018418:3 
cumplir	6722018418:1 
curriculo	6722018418:3 
curriculum	6722018418:1 
cuya	6722018418:1 
d	6722018418:5 
dadesblandaspdf	6722018418:1 
dado	6722018418:1 
dados	6722018418:1 
daniel	6722018418:3 
darlighammond	6722018418:2 
de	6722018418:302 
debates	6722018418:1 
debe	6722018418:6 
deben	6722018418:3 
debera	6722018418:2 
